alexandr malý,Psittacula krameri
pěnkava jikavec,Fringilla montifringilla
pěnkavák sněžný,Montifringilla nivalis
pěnkava obecná,Fringilla coelebs
pěvuška horská,Prunella montanella
pěvuška modrá,Prunella modularis
pěvuška podhorní,Prunella collaris
pisík obecný,Actitis hypoleucos
pisila čáponohá,Himantopus himantopus
plameňák růžový,Phoenicopterus roseus
polák chocholačka,Aythya fuligula
polák dlouhozobý,Aythya valisineria
polák kaholka,Aythya marila
polák malý,Aythya nyroca
polák proužkozobý,Aythya collaris
polák velký,Aythya ferina
poštolka jižní,Falco naumanni
poštolka obecná,Falco tinnunculus
poštolka rudonohá,Falco vespertinus
potápka černokrká,Podiceps nigricollis
potápka malá,Tachybaptus ruficollis
potápka roháč,Podiceps cristatus
potápka rudokrká,Podiceps grisegena
potápka žlutorohá,Podiceps auritus
potáplice lední,Gavia immer
potáplice malá,Gavia stellata
potáplice severní,Gavia arctica
potáplice žlutozobá,Gavia adamsii
puštík bělavý,Strix uralensis
puštík obecný,Strix aluco
racek audouinův,Ichthyaetus audouinii
racek bělohlavý,Larus cachinnans
racek bonapartův,Chroicocephalus philadelphia
racek bouřní,Larus canus
racek černohlavý,Ichthyaetus melanocephalus
racek chechtavý,Chroicocephalus ridibundus
racek delawarský,Larus delawarensis
racek malý,Hydrocoloeus minutus
racek mořský,Larus marinus
racek polární,Larus glaucoides
racek sabinův,Xema sabini
racek šedý,Larus hyperboreus
racek středomořský,Larus michahellis
racek stříbřitý,Larus argentatus
racek tenkozobý,Chroicocephalus genei
racek tříprstý,Rissa tridactyla
racek velký,Ichthyaetus ichthyaetus
racek žlutonohý,Larus fuscus
rákosník obecný,Acrocephalus scirpaceus
rákosník ostřicový,Acrocephalus paludicola
rákosník plavý,Acrocephalus agricola
rákosník pokřovní,Acrocephalus dumetorum
rákosník proužkovaný,Acrocephalus schoenobaenus
rákosník tamaryškový,Acrocephalus melanopogon
rákosník velký,Acrocephalus arundinaceus
rákosník zpěvný,Acrocephalus palustris
raroh jižní,Falco biarmicus
raroh lovecký,Falco rusticolus
raroh velký,Falco cherrug
rehek domácí,Phoenicurus ochruros
rehek zahradní,Phoenicurus phoenicurus
rorýs obecný,Apus apus
rorýs velký,Tachymarptis melba
rybák bahenní,Chlidonias hybrida
rybák bělokřídlý,Chlidonias leucopterus
rybák černozobý,Gelochelidon nilotica
rybák černý,Chlidonias niger
rybák dlouhoocasý,Sterna paradisaea
rybák malý,Sternula albifrons
rybák obecný,Sterna hirundo
rybák severní,Thalasseus sandvicensis
rybák velkozobý,Hydroprogne caspia
sedmihlásek hajní,Hippolais icterina
sedmihlásek malý,Iduna caligata
sedmihlásek šedý,Iduna pallida
sedmihlásek švitořivý,Hippolais polyglotta
skalník modrý,Monticola solitarius
skalník zpěvný,Monticola saxatilis
skorec vodní,Cinclus cinclus
skřivánek krátkoprstý,Calandrella brachydactyla
skřivan lesní,Lullula arborea
skřivan ouškatý,Eremophila alpestris
skřivan polní,Alauda arvensis
slavík modráček,Luscinia svecica
slavík obecný,Luscinia megarhynchos
slavík tmavý,Luscinia luscinia
slípka modrá,Porphyrio porphyrio
slípka zelenonohá,Gallinula chloropus
slučka malá,Lymnocryptes minimus
sluka lesní,Scolopax rusticola
sněhule severní,Plectrophenax nivalis
sojka obecná,Garrulus glandarius
sokol stěhovavý,Falco peregrinus
šoupálek dlouhoprstý,Certhia familiaris
šoupálek krátkoprstý,Certhia brachydactyla
sova pálená,Tyto alba
sovice krahujová,Surnia ulula
sovice sněžní,Bubo scandiacus
špaček obecný,Sturnus vulgaris
špaček růžový,Pastor roseus
stehlík obecný,Carduelis carduelis
stepokur kirgizský,Syrrhaptes paradoxus
straka modrá,Cyanopica cyanus
straka obecná,Pica pica
strakapoud bělohřbetý,Dendrocopos leucotos
strakapoud jižní,Dendrocopos syriacus
strakapoud malý,Dryobates minor
strakapoud prostřední,Dendrocoptes medius
strakapoud velký,Dendrocopos major
střízlík obecný,Troglodytes troglodytes
strnad bělohlavý,Emberiza leucocephalos
strnad cvrčivý,Emberiza cirlus
strnad hnědohlavý,Emberiza bruniceps
strnad luční,Emberiza calandra
strnad malinký,Emberiza pusilla
strnad obecný,Emberiza citrinella
strnad rákosní,Emberiza schoeniclus
strnad rolní,Emberiza rustica
strnad severní,Calcarius lapponicus
strnad viničný,Emberiza cia
strnad zahradní,Emberiza hortulana
sup bělohlavý,Gyps fulvus
sup hnědý,Aegypius monachus
sup mrchožravý,Neophron percnopterus
sýček obecný,Athene noctua
sýc rousný,Aegolius funereus
sýkora azurová,Cyanistes cyanus
sýkora babka,Poecile palustris
sýkora koňadra,Parus major
sýkora lužní,Poecile montanus
sýkora modřinka,Cyanistes caeruleus
sýkora parukářka,Lophophanes cristatus
sýkora uhelníček,Periparus ater
sýkořice vousatá,Panurus biarmicus
tenkozobec opačný,Recurvirostra avosetta
terej bílý,Morus bassanus
tetřev hlušec,Tetrao urogallus
tetřívek obecný,Lyrurus tetrix
ťuhýk menší,Lanius minor
ťuhýk obecný,Lanius collurio
ťuhýk rudohlavý,Lanius senator
ťuhýk šedý,Lanius excubitor
turpan černý,Melanitta nigra
turpan hnědý,Melanitta fusca
ústřičník velký,Haematopus ostralegus
včelojed lesní,Pernis apivorus
vlaštovka obecná,Hirundo rustica
vlaštovka skalní,Cecropis daurica
vlha pestrá,Merops apiaster
vodouš bahenní,Tringa glareola
vodouš kropenatý,Tringa ochropus
vodouš malý,Xenus cinereus
vodouš rudonohý,Tringa totanus
vodouš šedý,Tringa nebularia
vodouš štíhlý,Tringa stagnatilis
vodouš tmavý,Tringa erythropus
vodouš velký,Tringa melanoleuca
vodouš žlutonohý,Tringa flavipes
volavka bílá,Ardea alba
volavka červená,Ardea purpurea
volavka popelavá,Ardea cinerea
volavka rusohlavá,Bubulcus ibis
volavka stříbřitá,Egretta garzetta
volavka vlasatá,Ardeola ralloides
vrabec domácí,Passer domesticus
vrabec pokřovní,Passer hispaniolensis
vrabec polní,Passer montanus
vrána černá,Corvus corone
vrána šedá,Corvus cornix
výreček malý,Otus scops
výr velký,Bubo bubo
zedníček skalní,Tichodroma muraria
žluna šedá,Picus canus
žluna zelená,Picus viridis
žluva hajní,Oriolus oriolus
zrzohlávka rudozobá,Netta rufina
zvonek zelený,Chloris chloris
zvonohlík citrónový,Carduelis citrinella
zvonohlík zahradní,Serinus serinus
